sampleID	pool	barcode	chemistry
p1bc01	1	1	1
p1bc02	1	2	1
p1bc03	1	3	1
p1bc04	1	4	1
p1bc05	1	5	1
p1bc06	1	6	1
p1bc07	1	7	1
p1bc08	1	8	1
p1bc09	1	9	1
p1bc10	1	10	1
p1bc11	1	11	1
p1bc12	1	12	1
p1bc13	1	13	1
p1bc14	1	14	1
p1bc15	1	15	1
p1bc16	1	16	1
p1bc17	1	17	1
p1bc18	1	18	1
p1bc19	1	19	1
p1bc20	1	20	1
p1bc21	1	21	1
p1bc22	1	22	1
p1bc23	1	23	1
p1bc24	1	24	1
p1bc25	1	25	1
p1bc26	1	26	1
p1bc27	1	27	1
p1bc28	1	28	1
p1bc29	1	29	1
p1bc30	1	30	1
p1bc31	1	31	1
p1bc32	1	32	1
p1bc33	1	33	1
p1bc34	1	34	1
p1bc35	1	35	1
p1bc36	1	36	1
p1bc37	1	37	1
p1bc38	1	38	1
p1bc39	1	39	1
p1bc40	1	40	1
p1bc41	1	41	1
p1bc42	1	42	1
p1bc43	1	43	1
p1bc44	1	44	1
p1bc45	1	45	1
p1bc46	1	46	1
p1bc47	1	47	1
p1bc48	1	48	1
p1bc49	1	49	1
p1bc50	1	50	1
p2bc01	2	1	1
p2bc02	2	2	1
p2bc03	2	3	1
p2bc04	2	4	1
p2bc05	2	5	1
p2bc06	2	6	1
p2bc07	2	7	1
p2bc08	2	8	1
p2bc09	2	9	1
p2bc10	2	10	1
p2bc11	2	11	1
p2bc12	2	12	1
p2bc13	2	13	1
p2bc14	2	14	1
p2bc15	2	15	1
p2bc16	2	16	1
p2bc17	2	17	1
p2bc18	2	18	1
p2bc19	2	19	1
p2bc20	2	20	1
p2bc21	2	21	1
p2bc22	2	22	1
p2bc23	2	23	1
p2bc24	2	24	1
p2bc25	2	25	1
p2bc26	2	26	1
p2bc27	2	27	1
p2bc28	2	28	1
p2bc29	2	29	1
p2bc30	2	30	1
p2bc31	2	31	1
p2bc32	2	32	1
p2bc33	2	33	1
p2bc34	2	34	1
p2bc35	2	35	1
p2bc36	2	36	1
p2bc37	2	37	1
p2bc38	2	38	1
p2bc39	2	39	1
p2bc40	2	40	1
p2bc41	2	41	1
p2bc42	2	42	1
p2bc43	2	43	1
p2bc44	2	44	1
p2bc45	2	45	1
p2bc46	2	46	1
p2bc47	2	47	1
p2bc48	2	48	1
p2bc49	2	49	1
p2bc50	2	50	1
p3bc01	3	1	1
p3bc02	3	2	1
p3bc03	3	3	1
p3bc04	3	4	1
p3bc05	3	5	1
p3bc06	3	6	1
p3bc07	3	7	1
p3bc08	3	8	1
p3bc09	3	9	1
p3bc10	3	10	1
p3bc11	3	11	1
p3bc12	3	12	1
p3bc13	3	13	1
p3bc14	3	14	1
p3bc15	3	15	1
p3bc16	3	16	1
p3bc17	3	17	1
p3bc18	3	18	1
p3bc19	3	19	1
p3bc20	3	20	1
p3bc21	3	21	1
p3bc22	3	22	1
p3bc23	3	23	1
p3bc24	3	24	1
p3bc25	3	25	1
p3bc26	3	26	1
p3bc27	3	27	1
p3bc28	3	28	1
p3bc29	3	29	1
p3bc30	3	30	1
p3bc31	3	31	1
p3bc32	3	32	1
p3bc33	3	33	1
p3bc34	3	34	1
p3bc35	3	35	1
p3bc36	3	36	1
p3bc37	3	37	1
p3bc38	3	38	1
p3bc39	3	39	1
p3bc40	3	40	1
p3bc41	3	41	1
p3bc42	3	42	1
p3bc43	3	43	1
p3bc44	3	44	1
p3bc45	3	45	1
p3bc46	3	46	1
p3bc47	3	47	1
p3bc48	3	48	1
p3bc49	3	49	1
p3bc50	3	50	1
p4bc01	4	1	2
p4bc02	4	2	2
p4bc03	4	3	2
p4bc04	4	4	2
p4bc05	4	5	2
p4bc06	4	6	2
p4bc07	4	7	2
p4bc08	4	8	2
p4bc09	4	9	2
p4bc10	4	10	2
p4bc11	4	11	2
p4bc12	4	12	2
p4bc13	4	13	2
p4bc14	4	14	2
p4bc15	4	15	2
p4bc16	4	16	2
p4bc17	4	17	2
p4bc18	4	18	2
p4bc19	4	19	2
p4bc20	4	20	2
p4bc21	4	21	2
p4bc22	4	22	2
p4bc23	4	23	2
p4bc24	4	24	2
p4bc25	4	25	2
p4bc26	4	26	2
p4bc27	4	27	2
p4bc28	4	28	2
p4bc29	4	29	2
p4bc30	4	30	2
p4bc31	4	31	2
p4bc32	4	32	2
p4bc33	4	33	2
p4bc34	4	34	2
p4bc35	4	35	2
p4bc36	4	36	2
p4bc37	4	37	2
p4bc38	4	38	2
p4bc39	4	39	2
p4bc40	4	40	2
p4bc41	4	41	2
p4bc42	4	42	2
p4bc43	4	43	2
p4bc44	4	44	2
p4bc45	4	45	2
p4bc46	4	46	2
p4bc47	4	47	2
p4bc48	4	48	2
p4bc49	4	49	2
p4bc50	4	50	2
p5bc01	5	1	3
p5bc02	5	2	3
p5bc03	5	3	3
p5bc04	5	4	3
p5bc05	5	5	3
p5bc06	5	6	3
p5bc07	5	7	3
p5bc08	5	8	3
p5bc09	5	9	3
p5bc10	5	10	3
p5bc11	5	11	3
p5bc12	5	12	3
p5bc13	5	13	3
p5bc14	5	14	3
p5bc15	5	15	3
p5bc16	5	16	3
p5bc17	5	17	3
p5bc18	5	18	3
p5bc19	5	19	3
p5bc20	5	20	3
p5bc21	5	21	3
p5bc22	5	22	3
p5bc23	5	23	3
p5bc24	5	24	3
p5bc25	5	25	3
p5bc26	5	26	3
p5bc27	5	27	3
p5bc28	5	28	3
p5bc29	5	29	3
p5bc30	5	30	3
p5bc31	5	31	3
p5bc32	5	32	3
p5bc33	5	33	3
p5bc34	5	34	3
p5bc35	5	35	3
p5bc36	5	36	3
p5bc37	5	37	3
p5bc38	5	38	3
p5bc39	5	39	3
p5bc40	5	40	3
p5bc41	5	41	3
